"","MFCC Overall Standard Deviation0","MFCC Overall Standard Deviation1","MFCC Overall Standard Deviation2","MFCC Overall Standard Deviation3","MFCC Overall Standard Deviation4","MFCC Overall Standard Deviation5","MFCC Overall Standard Deviation6","MFCC Overall Standard Deviation7","MFCC Overall Standard Deviation8","MFCC Overall Standard Deviation9","MFCC Overall Standard Deviation10","MFCC Overall Standard Deviation11","MFCC Overall Standard Deviation12","MFCC Overall Average0","MFCC Overall Average1","MFCC Overall Average2","MFCC Overall Average3","MFCC Overall Average4","MFCC Overall Average5","MFCC Overall Average6","MFCC Overall Average7","MFCC Overall Average8","MFCC Overall Average9","MFCC Overall Average10","MFCC Overall Average11","MFCC Overall Average12"
"1",9.748,1.123,1.975,2.016,1.858,1.456,1.675,1.662,1.478,1.206,1.223,1.281,0.9189,-211,20.09,3.487,2.423,3.389,3.325,1.704,2.139,-1.139,-1.176,0.3718,1.408,-0.6872
"2",14.54,2.273,3.391,2.922,2.428,1.805,2.025,2.169,1.818,1.241,1.464,1.292,0.8396,-238,20.15,11.41,7.353,-0.4384,1.517,4.862,-0.8218,1.345,-1.606,0.5615,0.3985,-0.7799
"3",16.18,1.787,3.044,3.026,2.343,1.885,1.753,2.713,2.121,1.363,1.356,1.564,1.064,-226.2,19.87,5.574,2.987,1.423,1.522,2.121,1.342,-0.6838,-1.226,0.8296,0.2361,-0.8119
"4",13.91,1.18,2.049,2.177,1.98,1.809,1.822,1.666,1.716,1.404,1.46,1.44,1.07,-193.2,20.97,4.79,2.813,0.6254,1.72,3.221,2.915,-1.375,-1.877,1.612,0.2171,-0.8392
"5",16.93,1.194,2.408,2.657,1.95,1.762,2.233,1.761,1.999,1.468,1.385,1.298,0.8757,-205.1,20.84,4.546,3.103,2.172,1.494,0.3554,0.9959,-0.01076,0.1242,0.2755,-0.5737,-0.1734
"6",13.44,1.722,3.669,3.437,2.015,1.726,2.049,2.565,1.922,1.276,1.431,1.409,0.8735,-229,21.04,11.01,8.315,0.0729,1.745,4.27,-2.325,2.064,-1.343,0.3028,0.4589,-0.5525
"7",13.71,1.45,2.796,2.824,2.497,2.144,2.225,2.374,2.174,1.576,1.766,2.089,1.304,-194.5,20.51,3.966,2.271,1.035,0.4965,0.6407,1.952,-0.9069,-0.7147,-0.2621,-2.27,-1.083
"8",12.89,1.439,2.379,2.057,2.017,1.657,1.643,1.932,1.611,1.153,1.253,1.348,0.8708,-223.6,20.88,8.939,6.966,0.9319,2.811,4.86,-0.6661,1.391,-1.862,0.767,1.277,-1.125
"9",16.23,1.655,2.805,2.614,2.071,1.63,1.836,2.09,1.798,1.231,1.335,1.279,0.8574,-228.3,19.6,5.893,3.718,1.637,2.25,2.89,0.8257,0.5676,-1.191,0.2599,0.5288,-0.9951
"10",9.931,1.541,2.244,2.12,1.855,1.386,1.531,1.917,1.811,1.321,1.154,1.332,0.9157,-222.9,19.48,3.962,2.316,2.254,2.458,2.173,1.766,-0.4916,-1.308,0.5041,0.9843,-1.061
"11",14.1,1.901,2.742,2.353,2.147,1.439,1.927,1.712,1.566,1.275,1.32,1.239,0.9101,-232.8,19.5,7.606,4.995,0.9705,2.407,4.163,0.2201,1.175,-1.678,0.3196,0.857,-1.064
"12",10.63,1.442,2.238,2.291,1.967,1.54,1.632,1.732,1.514,1.178,1.113,1.385,0.9534,-223.7,19.48,3.113,1.364,3.379,2.602,1.386,2.773,-1.54,-0.9881,0.894,0.7139,-1.161
"13",13.65,1.343,2.608,2.761,1.587,1.438,1.661,2.432,1.899,1.23,1.467,1.396,0.8791,-194.3,20.77,3.798,1.668,0.5228,1.241,2.675,3.579,-2.343,-2.061,1.941,0.1784,-0.7053
"14",11.44,1.206,2.519,2.475,2.036,1.654,2.14,1.801,1.751,1.391,1.42,1.326,0.8952,-206.8,21.28,5.864,4.187,1.093,1.962,3.113,1.456,-0.3786,-1.816,0.5111,-0.09432,-0.5501
"15",11.69,1.358,2.639,2.53,2.132,1.698,1.918,2.136,1.695,1.327,1.326,1.342,0.8699,-222.9,20.57,6.275,3.727,-0.3097,0.6076,3.134,1.348,0.1455,-1.313,1.078,-0.4356,-0.6563
"16",17.81,1.684,2.192,2.211,1.959,1.775,1.633,1.682,1.814,1.222,1.284,1.566,0.9495,-227.2,20.85,7.808,4.185,-0.6768,0.2399,3.401,0.654,-0.7982,-2.145,1.477,-0.2245,-0.504
"17",14.7,1.319,2.605,2.207,2.433,2.26,1.817,2.158,1.488,1.677,1.105,1.828,1.057,-206.3,21.83,6.932,4.112,-1.813,-1.222,2.766,1.196,-0.4929,-2.005,1.17,-2.571,-0.1969
"18",15.76,1.555,3.005,2.743,1.706,1.659,2.283,2.011,2.305,1.286,1.315,1.173,0.9845,-222.5,19.87,6.158,3.835,0.5648,1.7,3.103,0.8006,-0.002493,-1.684,0.8041,0.8397,-0.7108
"19",13.78,1.443,2.526,2.177,2.158,1.57,1.708,1.803,1.626,1.287,1.169,1.38,0.8933,-225.6,20.61,7.601,5.534,0.5468,1.909,3.833,-0.0709,1.093,-1.421,0.6675,0.629,-0.8626
"20",14.14,1.338,2.599,2.76,1.975,1.703,1.893,2.098,1.869,1.135,1.377,1.173,0.7804,-213.4,20.66,6.278,5.44,2.877,3.405,2.59,-0.1139,1.206,-0.685,-0.04789,0.8105,-1.057
"21",14.45,1.682,3.559,3.325,2.645,1.855,2.179,2.778,2.264,1.528,1.346,1.776,1.158,-212.5,20.3,5.575,4.27,2.242,2.872,2.916,1.056,-0.4489,-1.779,0.1591,0.6481,-1.253
"22",25.78,1.281,2.562,2.757,1.985,1.92,1.954,2.333,1.902,1.317,1.42,1.59,1.08,-192.5,21.35,5.557,2.965,-1.139,-0.4224,2.553,2.198,-0.7888,-1.465,1.752,-1.43,-0.3127
"23",14.39,1.35,2,1.895,1.911,1.568,1.613,1.843,1.665,1.38,1.181,1.447,0.8284,-219.2,21.2,8.33,6.32,0.3231,1.923,4.178,-0.6687,0.9264,-1.887,0.8007,0.6123,-0.8539
"24",24.81,1.557,2.361,2.388,2.094,1.829,1.981,1.746,1.753,1.275,1.265,1.566,0.9059,-222.7,19.65,3.876,1.154,1.734,1.291,1.625,2.646,-1.777,-1.464,1.244,0.09303,-0.5381
"25",10.87,1.257,2.384,2.214,1.86,1.681,1.625,2.032,1.522,1.189,1.212,1.247,0.8362,-191.7,21.57,6.063,4.177,-0.1551,1.409,3.775,2.055,-0.6121,-2.362,1.403,-0.2853,-0.4643
"26",14.99,1.696,2.688,2.574,2.342,1.944,1.825,1.895,1.666,1.302,1.356,1.352,0.9864,-225.4,21.04,7.724,4.706,-1.033,-0.0003256,3.227,0.281,0.1157,-1.51,1.364,-0.5748,-0.3547
"27",10.89,1.622,2.706,2.563,2.172,1.555,1.76,2.022,1.883,1.268,1.21,1.44,0.9722,-227.9,19.96,6.138,4.214,2.364,2.498,2.354,0.1203,0.35,-0.9648,0.3565,0.9474,-0.9516
"28",11.26,1.709,2.56,2.388,1.964,1.466,1.651,1.846,1.575,1.166,1.188,1.2,0.8646,-238.9,19.08,7.029,4.022,1.571,2.414,3.451,0.7939,1.038,-1.279,0.3716,0.9061,-0.8704
"29",11.53,1.213,2.106,2.177,1.998,1.785,1.617,1.748,1.48,1.314,1.346,1.259,0.9948,-212.7,19.62,1.717,-0.3777,2.225,1.439,0.7431,4.067,-2.674,-1.025,1.142,-0.1217,-0.7551
"30",14.58,1.634,2.721,2.614,1.783,1.533,2.114,1.887,1.969,1.179,1.385,1.297,0.8842,-228.6,21,10.1,7.438,0.1016,1.931,4.749,-1.251,1.383,-1.935,0.8267,0.8393,-0.7643
"31",11.38,1.072,2.397,2.449,1.788,1.548,1.85,1.948,1.745,1.35,1.145,1.23,0.8912,-213,20.76,5.408,3.351,0.2257,1.1,2.747,1.724,-0.4602,-1.431,1.161,-0.05419,-0.5609
"32",17.14,2.674,3.898,3.339,2.64,2.205,1.971,2.557,2.007,1.785,1.439,1.666,1.075,-241.6,19.53,11.41,6.733,-0.2662,1.024,4.124,-0.5622,1.136,-1.227,0.5021,0.02863,-0.7894
"33",19.92,1.4,2.874,2.456,2.139,1.589,1.874,2.267,2.277,2.216,1.436,1.467,2.125,-220.1,20.46,7.501,4.324,-0.5019,0.7506,3.009,0.5003,-0.8181,-2.248,1.191,0.0201,-0.06916
"34",14.21,1.447,2.809,3.001,1.749,1.58,1.737,2.204,1.957,1.221,1.391,1.329,0.8803,-213.7,20.01,4.1,2.507,1.764,2.123,2.278,2.019,-0.697,-1.141,0.9932,0.8664,-0.8969
"35",15.11,1.338,2.903,2.584,1.69,1.657,1.667,1.958,1.695,1.276,1.189,1.342,0.8559,-221.6,21.52,7.776,4.512,-1.327,-1.062,2.07,0.04004,0.000737,-0.9192,1.331,-1.811,-0.2392
"36",16.09,1.56,3.553,3.361,1.944,1.597,2.289,2.371,2.074,1.322,1.289,1.242,0.9514,-221,21.66,9.883,7.467,-0.4715,1.062,3.875,-1.578,1.964,-1.105,0.7395,-0.2384,-0.3824
"37",13.94,1.204,2.514,2.818,1.626,1.544,1.883,2.095,1.977,1.184,1.173,1.485,1.014,-206.5,20.17,3.181,1.774,2.919,2.077,0.09566,2.279,-0.7293,0.2363,0.2269,-0.3271,-0.8391
"38",12.96,1.278,2.43,2.356,2.169,1.882,1.739,2.012,1.757,1.349,1.202,1.386,1.012,-195.7,21.32,5.501,3.559,0.391,1.691,3.509,2.51,-0.9836,-2.244,1.585,0.1228,-0.6107
"39",9.397,1.181,2.123,2.144,1.833,1.557,1.67,1.736,1.504,1.176,1.173,1.19,0.856,-189.3,19.75,2.007,1.525,4.283,2.922,-1.193,2.069,-0.4778,1.165,-0.7631,0.1318,-0.5391
"40",18.2,1.107,2.353,2.379,1.624,1.555,1.804,1.787,1.546,1.306,1.258,1.281,0.8202,-184.3,22.11,6.444,3.739,-1.169,-0.05245,3.313,1.739,-1.688,-2.605,2.224,-0.8812,-0.4644
"41",13.39,1.282,2.391,2.721,2.324,2.238,2.007,2.342,2.093,1.6,1.649,2.064,1.258,-180,19.86,1.465,-0.4292,2.464,0.6238,-1.202,3.525,-2.549,0.0598,0.4774,-1.547,-0.8448
"42",26.65,1.255,3.412,3.504,1.594,1.745,2.284,2.451,2.261,1.208,1.21,1.33,0.8562,-201.5,22.21,8.462,6.333,-0.01411,0.4014,2.238,-1.324,0.8394,-1.036,0.6701,-1.237,-0.1808
"43",12.47,1.451,2.409,2.252,2.185,1.583,1.713,1.996,1.42,1.2,1.21,1.349,0.7997,-221.1,20.18,5.355,3.66,1.86,2.437,2.81,1.021,-0.09819,-1.375,0.6315,1.044,-0.886
"44",15.69,1.533,2.665,2.569,2.203,1.648,1.613,2.544,2.163,1.49,1.435,1.322,0.8394,-227.7,19.81,7.733,5.441,1.079,2.771,4.462,0.1648,0.9289,-2.025,0.5469,1.341,-1.016
"45",12.37,1.673,2.417,2.126,1.885,1.559,1.548,1.757,1.547,1.178,1.139,1.307,0.8673,-229.3,19.54,7.173,5.781,3.473,4.116,3.1,-1.072,1.407,-1.214,-0.2625,2.05,-1.129
"46",12.46,1.624,2.581,2.412,1.927,1.409,1.88,1.772,1.86,1.323,1.09,1.285,0.9496,-236.6,19.17,6.579,3.645,0.9633,1.951,3.361,0.9245,0.1087,-1.502,1.101,1.275,-0.8761
"47",14.01,2.237,3.332,3.216,2.277,1.871,2.041,2.281,2.021,1.283,1.328,1.378,0.9279,-240.6,19.75,12.02,8.056,-0.2306,1.563,4.37,-2.055,2.382,-1.017,0.2403,0.4647,-0.5489
"48",16.51,1.85,2.373,2.057,2.081,1.515,1.996,1.774,1.564,1.343,1.413,1.257,0.8642,-231.8,20.78,11.16,8.13,0.07044,1.625,3.814,-2.374,2.117,-1.097,0.05008,0.2101,-0.3046
"49",14.07,1.683,3.111,2.806,2.274,1.624,2.021,2.082,1.717,1.246,1.224,1.265,0.8917,-220.8,19.71,5.018,3.29,2.026,2.761,2.925,1.359,-0.2501,-1.593,0.6306,1.327,-1.046
"50",13.01,1.686,2.575,2.552,2.234,1.786,1.67,2.208,1.805,1.267,1.369,1.438,0.8752,-226.1,20.28,6.687,4.463,1.144,1.826,2.823,0.4046,0.6941,-1.061,0.5174,0.3946,-0.5017
"51",15.97,2.103,3.669,3.268,2.14,1.863,2.027,2.447,2.097,1.246,1.352,1.365,1.011,-236.8,19.99,12.75,9.079,-0.2326,2.023,4.932,-2.625,2.709,-1.348,0.04193,0.721,-0.7884
"52",11,1.857,2.696,2.314,1.97,1.415,1.589,1.729,1.552,1.113,1.127,1.296,0.8357,-239.1,18.9,6.505,3.72,2.247,2.627,2.907,0.6981,0.854,-1.091,0.1495,0.8955,-0.9795
"53",11.92,1.778,2.587,2.156,1.978,1.61,1.565,1.577,1.579,1.272,1.214,1.245,0.8748,-237.2,20.13,10.93,7.782,1.048,2.583,4.161,-2.012,1.914,-1.194,0.2577,1.286,-0.8447
"54",13.36,1.48,2.63,2.337,2.42,2.18,1.657,1.932,1.619,1.321,1.429,1.52,0.9924,-206.4,20.99,5.302,3.297,0.192,0.8572,2.672,1.819,-0.4149,-1.158,1.388,-0.3055,-0.6082
