"","MFCC.Overall.Standard.Deviation0","MFCC.Overall.Standard.Deviation1","MFCC.Overall.Standard.Deviation2","MFCC.Overall.Standard.Deviation3","MFCC.Overall.Standard.Deviation4","MFCC.Overall.Standard.Deviation5","MFCC.Overall.Standard.Deviation6","MFCC.Overall.Standard.Deviation7","MFCC.Overall.Standard.Deviation8","MFCC.Overall.Standard.Deviation9","MFCC.Overall.Standard.Deviation10","MFCC.Overall.Standard.Deviation11","MFCC.Overall.Standard.Deviation12","MFCC.Overall.Average0","MFCC.Overall.Average1","MFCC.Overall.Average2","MFCC.Overall.Average3","MFCC.Overall.Average4","MFCC.Overall.Average5","MFCC.Overall.Average6","MFCC.Overall.Average7","MFCC.Overall.Average8","MFCC.Overall.Average9","MFCC.Overall.Average10","MFCC.Overall.Average11","MFCC.Overall.Average12","CLASS"
"1",5.974,1.244,2.258,2.605,1.447,1.469,1.756,1.779,1.76,1.156,1.092,1.311,0.8851,-220.8,17.3,-2.4,-3.418,6.279,3.461,-2.521,5.159,-3.07,1.002,-0.1257,1.392,-1.114,1
"2",16.21,2.199,3.601,3.557,2.432,1.797,2.195,2.379,1.799,1.872,1.192,1.631,0.8699,-224.5,19.75,2.966,1.946,4.504,2.799,-0.6769,1.453,-0.4166,0.4378,-0.6838,-0.3201,-0.535,1
"3",12.39,1.538,2.274,2.538,1.753,1.496,1.835,1.672,1.86,1.164,1.255,1.278,0.9757,-244.6,16.29,0.3945,-0.08633,8.268,4.547,-3.002,1.241,0.9234,2.554,-2.711,0.8479,-0.204,1
"4",13.73,1.794,3.136,3.024,2.637,1.927,2.341,2.096,1.991,1.418,1.477,1.536,0.9994,-235.6,19.37,4.08,2.653,4.022,3.245,1.2,1.477,-0.1996,-0.4079,0.01892,0.8412,-0.8236,1
"5",13.25,1.667,2.926,3.129,2.607,2.209,2.138,2.394,1.937,1.438,1.626,1.461,0.956,-231.5,19.01,4.105,2.872,3.272,2.55,0.7513,0.6311,1.07,0.332,-0.3975,0.3608,-0.5519,1
"6",10.08,2.255,2.824,2.682,2.454,2.173,1.618,2.215,1.392,1.231,1.276,1.539,0.9536,-211,17.68,1.007,1.803,7.845,5.648,-2.444,0.9393,0.8886,2.008,-2.758,1.727,-0.7071,1
"7",15.03,1.596,2.853,2.727,2.369,1.794,2.212,1.91,1.786,1.269,1.492,1.305,0.8774,-231.6,20.42,7.468,6.079,2.592,2.852,2.35,-1.009,1.963,-0.404,-0.4674,0.3288,-0.5184,0
"8",7.613,1.548,1.937,2.145,2.035,1.842,1.649,1.696,1.576,1.286,1.253,1.42,1.009,-226.1,15.63,-2.78,-3.575,8.549,4.937,-3.763,3.731,-2.608,1.482,-1.248,2.507,-1.182,1
"9",11.22,2.017,2.369,2.439,2.084,1.634,1.68,1.637,1.339,1.287,1.282,1.318,0.8873,-225.3,15.02,-4.495,-4.456,9.763,5.776,-5.638,4.432,-1.969,2.672,-2.851,1.717,-0.6947,0
"10",16.06,2.15,3.322,3.382,2.605,1.675,2.726,1.884,1.875,1.72,1.645,1.335,0.9305,-231.3,18.14,0.6108,-0.249,5.919,3.222,-2.32,2.318,-0.714,1.535,-1.232,0.1908,-0.3345,1
