"","MFCC.Overall.Standard.Deviation0","MFCC.Overall.Standard.Deviation1","MFCC.Overall.Standard.Deviation2","MFCC.Overall.Standard.Deviation3","MFCC.Overall.Standard.Deviation4","MFCC.Overall.Standard.Deviation5","MFCC.Overall.Standard.Deviation6","MFCC.Overall.Standard.Deviation7","MFCC.Overall.Standard.Deviation8","MFCC.Overall.Standard.Deviation9","MFCC.Overall.Standard.Deviation10","MFCC.Overall.Standard.Deviation11","MFCC.Overall.Standard.Deviation12","MFCC.Overall.Average0","MFCC.Overall.Average1","MFCC.Overall.Average2","MFCC.Overall.Average3","MFCC.Overall.Average4","MFCC.Overall.Average5","MFCC.Overall.Average6","MFCC.Overall.Average7","MFCC.Overall.Average8","MFCC.Overall.Average9","MFCC.Overall.Average10","MFCC.Overall.Average11","MFCC.Overall.Average12","CLASS"
"1",5.678,1.247,1.939,2.296,1.484,1.579,1.843,1.4,1.679,1.122,1.088,1.459,0.8903,-233.3,17.45,-0.245,-2.209,3.643,1.462,-1.674,3.368,-1.483,0.576,0.05767,-0.1898,-0.4104,0
"2",7.098,1.471,2.876,2.879,1.715,1.499,1.829,2.398,1.755,1.34,1.253,1.303,0.8968,-221,20.35,4.729,4.303,4.528,4.171,1.533,0.462,0.3807,-0.5526,-0.9827,0.7883,-0.6211,0
"3",9.83,1.657,3.533,3.793,1.621,1.583,2.407,2.756,2.118,1.408,1.231,1.242,0.9217,-198,19.52,3.83,4.139,5.645,5.321,1.209,1.077,1.631,0.7305,-1.076,1.57,-1.045,0
"4",7.247,1.254,2.512,2.557,1.667,1.559,1.836,2.277,1.725,1.301,1.191,1.28,0.9565,-199.1,20.37,4.67,4.574,4.198,4.005,1.197,0.4209,1.139,0.1554,-0.953,0.7022,-0.7838,0
"5",4.929,0.8588,2.06,2.584,1.27,1.631,2.061,1.666,1.97,1.142,1.086,1.396,0.864,-198.6,18.54,-1.213,-1.903,6.05,3.17,-3.086,4.534,-1.939,1.985,-1.659,-0.5642,-0.6794,0
"6",6.413,1.337,2.754,2.945,1.416,1.471,2.06,2.313,2.084,1.301,1.182,1.325,0.8685,-207,19.38,2.373,1.995,4.422,4.33,1.047,2.987,-0.3628,-0.2378,-0.5296,1.357,-0.7217,0
"7",5.648,1.044,2.361,2.71,1.401,1.53,2.075,1.864,1.938,1.293,1.209,1.276,0.9202,-178,18.51,-0.5926,-1.054,4.863,3.088,-1.856,3.9,-1.365,1.395,-0.9684,0.4278,-0.621,0
"8",7.033,1.309,2.721,3.184,1.455,1.406,2.044,2.219,1.773,1.161,1.254,1.26,0.8618,-207.8,19.47,2.292,1.867,5.047,4.635,0.9895,2.96,-0.22,0.005845,-0.5342,1.322,-0.8495,0
"9",4.273,0.7226,1.878,2.549,1.39,1.812,2.17,1.551,2.237,1.257,1.147,1.717,0.8575,-171.1,18.65,-1.446,-2.984,5.041,1.961,-3.629,4.302,-3.952,0.3808,-0.7558,-0.9194,-0.8076,0
"10",5.732,1.115,2.288,2.541,1.3,1.352,1.916,1.837,1.783,1.238,1.08,1.188,0.8382,-195.5,19.51,2.645,2.708,4.69,4.302,0.5618,2.192,0.9527,0.8894,-0.7617,0.8278,-1.267,0
"11",7.317,1.354,2.586,2.582,1.554,1.436,1.654,2.107,1.502,1.352,1.137,1.291,0.7935,-184.4,20.31,3.531,3.085,3.757,3.089,0.2846,1.371,0.3923,0.7767,-0.2288,0.5407,-0.5147,0
"12",5.364,0.9246,2.116,2.566,1.271,1.606,1.931,1.724,1.94,1.167,1.122,1.327,0.8771,-161.6,18.61,-0.8081,-1.226,5.591,3.73,-1.822,4.854,-1.411,1.856,-0.7051,0.5637,-0.8051,0
"13",5.132,0.7463,1.598,2.012,1.25,1.441,1.671,1.417,1.537,1.142,1.11,1.303,0.836,-170,18.74,-1.975,-3.825,4.18,0.9289,-3.442,5.882,-2.683,2.32,0.2937,-1.504,-0.6397,0
"14",6.791,1.264,2.5,2.632,1.436,1.334,1.784,2.129,1.674,1.143,1.089,1.298,0.8282,-187.1,19.21,1.43,1.519,5.213,4.076,-0.5458,2.747,-0.1184,1.048,-0.9923,0.5641,-0.9191,0
"15",5.863,0.9022,2.25,2.752,1.318,1.641,2.032,1.906,2.008,1.233,1.158,1.372,0.9248,-162.3,18.77,-1.464,-2.479,5.25,2.72,-2.349,5.297,-3.226,0.9444,-0.2697,-0.02497,-0.8897,0
"16",4.816,0.8577,1.985,2.461,1.396,1.624,1.874,1.636,1.926,1.196,1.105,1.475,0.8579,-179.7,19.4,-0.4188,-1.807,4.641,2.08,-2.59,4.42,-3.147,0.6095,-0.5149,-0.9853,-0.8136,0
"17",4.747,0.7263,1.48,1.869,1.299,1.433,1.526,1.436,1.513,1.173,1.106,1.287,0.9034,-170.3,18.74,-1.816,-3.678,4.251,1.324,-3.449,5.217,-3.997,1.017,0.3543,-0.3515,0.09433,0
"18",4.726,0.9589,1.852,2.053,1.344,1.344,1.596,1.615,1.549,1.194,1.145,1.184,0.9101,-199.9,18.13,-2.092,-2.718,5.599,3.037,-3.399,4.961,-2.2,2.18,-1.064,0.2256,-0.4661,0
"19",5.601,0.8738,1.953,2.312,1.481,1.766,1.381,1.865,1.81,1.085,1.38,1.255,0.9936,-240.6,22.46,17.31,11.01,-6.406,-5.31,3.914,-1.623,3.929,1.098,1.529,-5.235,-0.7762,0
"20",9.59,1.174,1.815,1.681,1.333,1.178,1.483,1.332,1.224,1.178,1.074,1.021,0.7862,-169.9,17.96,-0.5542,-1.004,2.559,2.125,-0.9628,3.38,-1.316,0.3934,-0.507,0.6552,-0.8117,1
"21",5.388,1.069,2.289,2.648,1.351,1.529,2.005,1.866,1.965,1.193,1.127,1.345,0.8564,-202.3,19.24,1.014,0.6762,4.588,3.503,-0.734,3.262,-0.8104,0.583,-1.262,-0.02665,-0.9243,0
"22",6.949,1.225,2.473,2.489,1.52,1.415,1.943,2.171,1.78,1.31,1.167,1.338,0.9425,-220.3,19.92,3.054,2.875,4.775,4.513,0.5718,2.136,0.0386,0.08684,-1.012,0.8052,-1.03,0
"23",8.142,1.016,2.714,3.273,1.353,1.825,2.483,2.228,2.695,1.246,1.067,1.547,0.8602,-202.2,18.44,-0.6225,-1.098,5.634,3.485,-2.091,4.314,-0.5222,2.168,-1.031,0.1744,-0.7953,0
"24",5.344,0.9063,2.322,2.787,1.374,1.615,2.144,1.879,2.113,1.242,1.15,1.296,0.9429,-187.2,19.22,-0.07286,-0.7903,4.433,3.001,-1.158,4.774,-1.178,1.527,-0.2556,-0.04415,-0.9395,0
