"","MFCC Overall Standard Deviation0","MFCC Overall Standard Deviation1","MFCC Overall Standard Deviation2","MFCC Overall Standard Deviation3","MFCC Overall Standard Deviation4","MFCC Overall Standard Deviation5","MFCC Overall Standard Deviation6","MFCC Overall Standard Deviation7","MFCC Overall Standard Deviation8","MFCC Overall Standard Deviation9","MFCC Overall Standard Deviation10","MFCC Overall Standard Deviation11","MFCC Overall Standard Deviation12","MFCC Overall Average0","MFCC Overall Average1","MFCC Overall Average2","MFCC Overall Average3","MFCC Overall Average4","MFCC Overall Average5","MFCC Overall Average6","MFCC Overall Average7","MFCC Overall Average8","MFCC Overall Average9","MFCC Overall Average10","MFCC Overall Average11","MFCC Overall Average12"
"1",10.39,1.241,2.198,1.999,1.828,1.858,1.402,1.455,1.406,1.171,1.232,1.422,1.046,-246.2,19.57,7.482,3.684,-0.1815,-1.044,0.3732,-1.064,0.6068,0.7504,1.773,-0.2205,0.733
"2",15.64,2.557,3.444,3.03,2.459,1.911,1.671,1.576,1.554,1.156,1.301,1.649,0.9731,-253.9,19.47,7.522,4.27,0.3191,-0.6858,1.11,-0.7483,0.207,-0.6534,0.7637,-1.444,-0.5883
"3",278.1,6.089,3.398,3.258,1.805,1.712,1.704,2.12,1.525,1.113,1.105,1.104,0.9198,-336,16.96,6.393,5.009,2.729,2.74,2.608,-0.1479,0.7716,-1.046,-0.3682,0.2502,-1.072
"4",11.49,1.722,3.175,3.594,1.447,1.904,2.055,1.878,1.894,1.139,1.149,1.115,0.9712,-247.3,20.35,7.128,4.69,1.02,0.5167,1.245,-0.5202,0.3333,-0.3025,0.983,-0.4461,-0.05916
"5",15.8,1.46,2.841,2.749,1.799,2.137,1.633,1.977,1.61,1.293,1.287,1.47,1.004,-238.6,19.31,6.485,3.448,0.9476,0.2624,0.8751,-0.4428,0.9584,0.5612,1.295,0.2226,0.2534
"6",17.69,1.515,3.845,3.586,1.345,1.37,1.924,2.516,2.04,1.15,1.101,1.03,0.8423,-237,18.19,3.325,0.9043,3.198,1.81,-0.07518,1.336,-0.2301,0.3464,0.2706,0.556,-0.1653
"7",281.9,6.118,2.995,2.675,2.223,1.875,1.742,2.003,1.64,1.105,1.138,1.348,0.831,-340.9,16.57,3.313,1.834,3.134,2.4,1.008,1.435,0.4963,0.1389,0.3383,0.5713,-0.412
"8",165.8,3.821,2.35,2.532,1.995,2.184,1.637,1.464,1.664,1.099,1.283,1.348,0.8756,-274,17.92,4.856,2.357,1.389,0.6225,1.36,0.9233,-0.124,-0.4575,0.5437,-0.4217,-0.8995
"9",8.512,1.471,2.346,2.099,2.276,2.135,1.406,1.735,1.206,1.213,1.335,1.371,0.971,-250.7,19.94,8.151,5.323,0.7421,-0.3596,0.7843,-1.198,-1.067,-1.39,0.2459,-1.635,-0.5825
"10",13.95,1.794,2.856,2.588,2.27,1.998,1.5,1.996,1.498,1.188,1.311,1.601,0.9363,-242.1,20.25,6.479,4.487,1.941,1.193,1.45,-0.07402,0.1323,-0.7186,0.15,-0.8575,-0.516
"11",238.6,5.586,3.432,3.111,1.595,1.777,1.608,2.136,1.556,1.195,1.174,1.226,0.9633,-313.1,18.96,7.921,5.539,0.8399,0.6742,1.722,-1.272,0.6976,-0.6358,0.8077,-0.16,-0.1467
"12",217.9,4.848,2.627,2.565,1.634,1.473,1.62,1.411,1.581,1.143,1.006,1.175,0.8725,-303.1,17.78,5.471,3.341,2.07,1.373,2.053,0.8121,-0.4323,-1.374,-0.03923,-0.8586,-1.098
"13",8.863,1.228,2.172,2.061,2.074,2.06,1.484,1.792,1.414,1.235,1.322,1.607,1.074,-229.4,21.02,5.645,2.629,-1.772,-1.463,2.522,2.564,0.02281,-0.4917,1.898,-2.422,-0.5601
"14",13.66,1.803,2.632,2.82,1.65,1.491,1.442,2.105,1.537,1.023,1.045,1.157,0.9181,-249.6,19.82,6.423,4.04,2.02,0.7701,1.341,-0.05087,-0.2737,-0.9572,0.3876,-0.967,-0.4521
"15",14.86,1.584,2.902,2.609,1.85,1.806,1.654,2.018,1.528,1.184,1.221,1.149,1.093,-242.4,18.49,5.825,2.993,1.901,1.109,0.4637,-0.6696,0.3701,-0.1078,0.452,0.7824,0.3055
"16",7.99,1.455,2.096,2.223,1.834,1.91,1.392,1.527,1.599,0.9751,1.201,1.168,0.9426,-245.7,19.14,5.587,3.101,1.487,0.6848,1.597,1.055,-0.1483,-0.4345,0.9295,-0.3413,-0.8958
"17",47.76,2.184,2.503,2.39,1.764,1.481,1.351,1.917,1.464,1.08,1.108,1.052,0.9007,-249.2,19.97,7.048,4.888,1.444,0.7346,1.536,0.1341,-0.5585,-1.046,0.4368,-1.081,-0.9548
"18",10.39,1.345,2.023,2.331,1.587,1.976,1.571,1.522,1.503,1.18,1.223,1.352,0.9149,-251.3,19.93,6.911,4.015,0.4264,-0.3719,1.162,-0.1095,0.6657,0.2601,1.477,-0.6973,-0.2981
"19",11.9,1.589,3.022,3.438,1.44,1.868,2.065,1.865,1.831,1.092,1.247,1.089,0.9718,-246,20.45,7.513,5.153,1.003,0.6695,1.611,-0.8126,0.7539,-0.3129,0.9766,-0.2096,-0.06898
"20",9.513,1.566,1.946,2.034,1.816,1.84,1.355,1.318,1.319,1.111,1.278,1.166,0.9008,-254.6,18.21,5.096,2.406,2.43,1.026,1.539,0.8925,-0.5185,-1.048,0.2268,-0.8171,-0.8553
"21",190.2,4.432,2.674,2.484,1.747,1.734,1.651,1.557,1.592,1.064,1.223,1.074,0.9394,-276.6,18.99,6.747,5.394,1.976,2.271,2.885,0.1698,0.7537,-0.9202,0.06018,-0.002199,-1.065
"22",230.6,5.026,2.425,2.469,1.452,1.801,1.791,1.429,1.873,1.06,1.014,1.275,0.8662,-304.2,17.99,5.748,4.168,2.117,2.042,2.531,0.8741,0.5948,-0.7026,0.2661,-0.08487,-1.393
"23",278.5,6.457,3.778,3.326,2.265,2.075,1.966,2.053,1.652,1.069,1.21,1.421,0.9677,-333.9,17.01,6.169,3.986,1.454,1.779,2.329,0.06237,1.448,-0.2545,0.3304,0.2873,-0.6351
"24",11.85,1.178,2.649,2.248,1.615,1.499,1.559,1.721,1.575,1.182,1.107,1.273,0.9402,-237.1,19.18,6.086,3.596,1.657,1.319,1.295,0.02129,1.172,0.3961,0.78,0.6185,-0.2786
"25",285.4,6.463,3.235,2.34,1.728,1.947,1.429,1.68,1.471,1.089,1.242,1.403,0.9245,-348.3,17.52,6.352,3.385,0.1789,-0.1805,1.31,-0.1425,0.8342,0.1424,0.9622,-0.6391,-0.104
"26",197.4,4.552,3.073,2.896,1.612,1.609,1.597,2.162,1.379,1.371,1.196,1.272,1.041,-301.5,18.11,6.783,3.983,1.816,0.8923,1.738,-0.4687,0.02393,-1.172,0.002121,-0.8959,-0.7265
"27",301.3,6.661,3.349,3.002,1.747,1.766,1.696,1.857,1.647,1.16,1.073,1.169,0.8769,-364.1,16.83,5.789,4.38,3.005,2.753,1.751,-0.2313,0.8844,-0.5099,-0.2992,0.4522,-0.4757
"28",82.22,3.463,3.714,3.608,3.191,2.408,1.688,2.369,1.674,1.287,1.473,1.697,0.9366,-254.5,18.86,5.955,2.976,1.421,0.4589,1.457,0.3496,0.4171,-0.4101,1.069,-0.7156,0.03086
"29",13.08,1.782,2.67,2.477,2.15,1.791,1.526,1.908,1.384,1.142,1.206,1.203,1.015,-256.1,19.03,6.931,4.395,2.624,2.041,1.68,-0.4886,0.9257,-0.426,0.2175,0.2277,-0.2237
"30",10.9,1.137,2.49,2.011,2.069,2.084,1.525,1.716,1.518,1.31,1.303,1.419,0.9643,-238,19.62,6.698,3.773,0.4085,-0.1071,0.6086,-0.9237,0.7621,0.345,1.019,-0.1027,0.2316
"31",8.811,1.312,2.076,1.996,2.125,2.408,1.433,1.728,1.351,1.519,1.55,1.659,1.368,-238.8,20.71,9.778,3.633,-5.545,-6.672,0.6104,-1.333,0.8822,1.355,4.103,-4.157,1.294
"32",228.6,5.125,2.767,2.232,1.704,1.623,1.47,1.542,1.433,1.083,1.049,1.192,0.8651,-309.9,17.36,5.597,3.315,1.776,1.266,1.337,0.05918,0.05684,-0.6413,0.3206,0.1841,-0.3674
"33",20.08,2.033,2.71,2.562,2.535,2.327,1.69,1.992,1.695,1.236,1.416,1.666,1.049,-242,19.96,6.546,4.291,0.9337,1.324,2.718,0.7148,1.219,-0.6858,0.3474,-0.7721,-0.7783
"34",163.8,3.822,2.562,2.217,2.011,1.645,1.286,1.614,1.425,1.137,1.213,1.119,0.8921,-267.9,18.49,5.335,3.461,1.637,1.08,1.61,0.6377,-0.6057,-1.168,0.1042,-0.5948,-0.9379
"35",159.1,3.765,2.611,2.559,1.777,1.816,1.446,1.547,1.763,1.197,1.236,1.162,0.9123,-271.8,19.11,6.54,4.693,1.377,1.025,2.187,0.4417,-0.2174,-1.081,0.4438,-0.7564,-1.114
"36",9.961,1.879,1.945,2.187,1.44,1.661,1.56,1.467,1.661,1.167,1.084,1.297,0.9758,-264.8,16.98,5.796,3.39,3.574,2.53,2.266,0.6685,0.9357,-0.5939,0.08079,0.09619,-0.4706
"37",9.662,1.277,2.304,1.808,2.357,2.227,1.411,1.638,1.362,1.214,1.258,1.722,1.119,-235.4,19.67,6.663,3.174,-1.971,-2.025,1.123,-0.1764,1.189,0.8485,1.987,-1.105,0.2653
"38",169.6,3.878,2.391,2.094,2.08,1.923,1.555,1.361,1.472,1.108,1.207,1.329,0.8883,-284.3,18.23,7.017,4.382,2.029,1.808,2.338,0.06668,1.255,-0.2718,0.2938,0.03531,-0.7522
"39",21.03,1.739,3.063,3.232,2.334,2.484,1.434,2.794,1.612,1.652,1.456,1.723,1.123,-225,21.28,7.241,3.524,-2.939,-2.482,2.877,1.752,1.195,0.09319,2.693,-2.797,-0.8236
"40",126.3,2.994,2.337,2.41,1.373,1.536,1.393,1.505,1.623,1.037,1.034,1.061,0.8255,-263,18.93,5.495,3.231,1.128,0.2796,1.403,0.8575,-0.9025,-1.053,0.6188,-0.9395,-1.04
"41",17.94,1.607,2.169,2.181,1.507,1.561,1.376,1.68,1.435,1.114,1.166,1.208,0.9146,-238.2,19.16,5.748,3.793,1.897,1.737,2.089,0.5639,0.633,-0.5075,0.3034,0.1337,-0.9046
"42",153.1,3.668,2.532,2.299,1.706,1.865,1.604,1.406,1.654,1.049,1.261,1.259,0.9161,-256.7,19.51,6.246,4.434,0.6143,0.6128,1.597,0.08973,0.6233,-0.03263,1.118,-0.08354,-0.7756
"43",19.53,1.615,2.375,2.276,1.809,1.772,1.587,1.85,1.51,1.16,1.25,1.178,1.011,-234.5,18.77,5.072,2.625,1.725,1.122,0.7563,0.02734,0.4478,0.1508,0.7734,0.9251,0.2058
"44",12.96,1.289,2.799,2.292,1.837,1.738,1.547,1.77,1.414,1.077,1.168,1.245,0.9656,-238.7,19.51,6.031,3.12,1.562,0.6282,0.551,-0.1563,0.3117,0.3016,0.8409,0.08767,0.2233
