"","MFCC Overall Standard Deviation0","MFCC Overall Standard Deviation1","MFCC Overall Standard Deviation2","MFCC Overall Standard Deviation3","MFCC Overall Standard Deviation4","MFCC Overall Standard Deviation5","MFCC Overall Standard Deviation6","MFCC Overall Standard Deviation7","MFCC Overall Standard Deviation8","MFCC Overall Standard Deviation9","MFCC Overall Standard Deviation10","MFCC Overall Standard Deviation11","MFCC Overall Standard Deviation12","MFCC Overall Average0","MFCC Overall Average1","MFCC Overall Average2","MFCC Overall Average3","MFCC Overall Average4","MFCC Overall Average5","MFCC Overall Average6","MFCC Overall Average7","MFCC Overall Average8","MFCC Overall Average9","MFCC Overall Average10","MFCC Overall Average11","MFCC Overall Average12"
"1",37.38,3.836,5.753,5.453,3.833,3.401,3.151,4.886,2.959,2.271,2.169,2.576,1.596,-199.3,19.77,5.582,2.562,-2.075,-0.8283,3.723,3.797,-0.2127,-1.385,2.15,-2.098,-0.4858
"2",39.28,3.99,4.956,4.911,2.92,2.886,3.103,4.59,2.884,2.314,1.823,2.248,1.567,-195.5,18.85,3.455,1.229,-0.1555,1.074,3.223,4.535,-1.351,-2.043,1.444,-1.328,-1.065
"3",32.64,4.119,5.691,5.069,4.723,4.148,3.25,4.74,3.453,2.445,2.301,3.18,1.66,-185.6,19.18,2.833,0.9618,2.435,2.715,2.214,4.202,-3.023,-2.487,1.054,0.3111,-0.7286
"4",43.76,3.26,4.638,5.247,4.589,4.346,3.614,5.169,3.225,2.455,2.78,2.977,1.877,-186.7,19.86,5.229,1.725,-2.615,-1.407,3.79,4.385,-0.9101,-1.425,3.305,-1.977,-0.5517
"5",39.43,2.627,4.016,4.136,3.685,2.874,3.598,3.91,2.825,2.483,2.09,2.333,1.69,-193.2,19.99,4.635,2.13,-0.2911,0.1567,2.02,2.77,-1.341,-1.35,1.71,-0.9755,-0.4783
"6",36.41,2.907,4.46,5.088,3.807,3.274,3.792,5.355,2.979,2.451,2.571,2.263,1.563,-177.5,20.28,4.638,1.824,-1.007,-0.2502,3.096,4.325,-1.774,-2.011,2.053,-2.098,-0.6208
"7",28.62,1.783,3.293,3.802,3.945,3.704,2.831,4.336,2.456,2.194,2.396,2.795,1.625,-185.6,21.24,6.066,3.755,-0.08967,-0.1365,2.01,1.758,-0.3004,-0.7928,1.504,-1.939,-0.5764
"8",46.42,1.632,3.448,3.618,2.008,2.019,2.577,2.667,2.33,1.813,1.569,1.734,1.056,-179.2,21.49,6.114,3.954,1.025,0.7844,1.44,0.962,-0.7294,-1.065,0.9873,-1.159,-0.2685
"9",46.83,3.461,3.932,4.033,3.209,2.878,3.221,4.915,2.973,2.849,1.872,2.408,1.461,-198.9,19.82,5.12,2.573,-0.3446,0.7605,2.962,3.347,-1.165,-1.974,1.478,-1.185,-0.33
"10",40.94,2.49,3.374,3.306,3.025,2.778,2.368,3.286,2.41,2.031,1.847,2.086,1.418,-193.2,20.95,5.833,3.27,-0.05722,0.3258,2.378,2.117,-1.109,-1.574,1.535,-1.225,-0.2221
"11",37.88,2.015,3.746,4.091,3.798,3.572,2.856,3.553,2.589,2.204,2.326,2.439,1.567,-182.9,20.84,5.261,2.248,-0.8979,-1.372,1.08,2.044,-0.5642,-0.1666,2.072,-2.233,-0.2918
"12",39.85,2.328,3.643,3.774,3.305,2.875,2.55,3.795,2.33,1.943,1.808,2.366,1.437,-185.2,20.84,5.618,3.055,-0.6886,-0.1997,2.326,2.256,-0.8058,-1.339,1.557,-1.596,-0.4759
"13",40.85,4.579,4.869,4.84,3.518,3.081,3.105,4.813,3.263,2.603,2.125,2.598,1.75,-193.6,18.57,3.364,0.8011,-0.4491,0.9979,3.603,5.095,-1.749,-2.16,2.09,-0.8062,-0.8377
"14",39.62,3.043,4.235,3.941,4.976,4.886,2.719,3.197,2.482,2.292,2.331,3.2,1.451,-201.1,20.43,7.201,2.961,-3.618,-3.095,2.709,1.935,-0.0562,-1.067,2.454,-3.103,-0.3979
"15",40.24,2.95,3.962,3.735,4.08,3.841,2.97,3.781,2.618,2.279,2.115,2.957,1.569,-199.3,20.14,6.172,3.127,-1.702,-1.048,3.002,2.733,0.4152,-0.7724,1.866,-2.211,-0.6943
"16",33.62,2.046,3.532,4.046,4.238,3.882,3.017,4.297,2.546,2.265,2.545,2.748,1.645,-185.7,20.81,5.079,2.494,0.01754,-0.03075,1.937,2.822,-1.075,-1.044,1.621,-1.913,-0.6022
"17",34,2.096,4.051,4.163,2.67,2.437,3.256,4.24,2.572,2.236,1.744,1.827,1.379,-170.7,21.24,5.28,2.723,-0.2963,0.2338,2.42,2.719,-1.664,-1.995,1.761,-1.512,-0.4355
"18",39.4,2.588,4.042,3.811,3.662,2.974,2.973,3.257,2.35,2.11,1.963,2.348,1.471,-181.2,20.69,5.107,3.212,1.169,1.306,1.811,1.691,-1.098,-1.313,1.163,-0.3876,-0.5165
"19",39.4,1.973,4.566,3.878,4.29,3.717,3.312,3.4,2.958,2.289,1.99,2.671,1.442,-179.7,21.81,7.869,4.286,-2.873,-2.251,2.97,1.508,-0.2102,-1.674,2.202,-2.996,-0.2712
